시각,파일명,원본포맷,결과,크기(KB),비고
11:46:40,WA-813.1 QIF-1 제품안전관리 점검표 (REV_0).xlsx,.xls,건너뜀,,이미 변환됨
11:46:41,WA-820 QPF-01(주문(계약_변경)검토보고서).xls,.xls,성공,33.9,
11:46:41,WA-820 QPF-04(고객 외주품질요구조건(SQAR) 검토보고서).xls,.xls,성공,31.7,
11:46:41,WA-820 QPF-05(고객만족도분석데이터).xls,.xls,성공,26.7,
11:46:41,WA-820 QPF-02(견적서).xlsx,.xls,건너뜀,,이미 변환됨
11:46:41,WA-820 QPF-03(고객요구사항접수대장).xlsx,.xls,건너뜀,,이미 변환됨
11:46:41,WA-820 QPF-06(영업 관리대장).xlsx,.xls,건너뜀,,이미 변환됨
11:46:42,WA-840 QPF-02(구매요청서).xls,.xls,성공,192.4,
11:46:42,WA-840 QPF-03(구매입고품관리대장).xls,.xls,성공,15.9,
11:46:42,WA-840 QPF-04(기안용지).xls,.xls,성공,80.1,
11:46:42,WA-840 QPF-01(발주서).xlsx,.xls,건너뜀,,이미 변환됨
11:46:42,WA-841 QIF-01(외주업체등록관리대장).xls,.xls,성공,205.4,
11:46:42,WA-841 QIF-02(외주업체평가 결과표).xls,.xls,성공,195.7,
11:46:42,WA-841 QIF-03(외주업체 체크리스트).xls,.xls,성공,193.6,
11:46:42,WA-850-1 QIF-01(작업전 CHECK LIST_REV_0).xlsx,.xls,건너뜀,,이미 변환됨
11:46:42,WA-850-1 QIF-01(작업전 CHECK LIST_REV_1).xlsx,.xls,건너뜀,,이미 변환됨
11:46:42,WA-850-1 QIF-02(Skin 가공전 CHECK LIST_REV_0).xlsx,.xls,건너뜀,,이미 변환됨
11:46:43,WA-850-04 QIF-1(TOOL ORDER_REV_1).xls,.xls,성공,29.2,
11:46:43,WA-850-04 QIF-2(TOOL INSPECTION_REV_0).xls,.xls,성공,12.3,
11:46:43,WA-850-04 QIF-3(CERFIFIED TOOL LIST_REV_1).xls,.xls,성공,17.4,
11:46:43,WA-850-04 QIF-4(MOI TOOL 관리 대장_REV_0).xls,.xls,성공,13.1,
11:46:43,WA-850-04 QIF-5-6(치공구 표찰 모음_REV_0).xls,.xls,성공,60.8,
11:46:43,예.xlsx,.xls,건너뜀,,이미 변환됨
11:46:43,AS9102C-Forms 1-2-3.xlsx,.xls,건너뜀,,이미 변환됨
11:46:44,Master form FAIR Form_1,2,3.xls,.xls,성공,49.8,
11:46:44,FAIR-HW-25-001-114W1234-12-DR Recorded.xls,.xls,성공,98.8,
11:46:45,FAIR-HW-25-001-114W1234-12-IR Recorded.xls,.xls,성공,98.8,
11:46:45,FAIR-HW-25-001-F-114W1234-12-Completed.xls,.xls,성공,98.8,
11:46:45,FAIR_1,2,3 양식 기록표-현우산업.xls,.xls,성공,40.4,
11:46:45,FAIR_1,2,3-기록설명서-현우산업-2025.10.29.xlsx,.xls,건너뜀,,이미 변환됨
11:46:46,WA-852 QIF-01 검사확인서(tag).xls,.xls,성공,200.2,
11:46:46,WA-852-1 QIF-01(인장발급요청서).xlsx,.xls,건너뜀,,이미 변환됨
11:46:46,WA-852-1 QIF-02(하드인장관리대장).xlsx,.xls,건너뜀,,이미 변환됨
11:46:46,WA-852-1 QIF-03(인장심사 Check List).xlsx,.xls,건너뜀,,이미 변환됨
11:46:46,WA-852-1 QIF-04(인장판독점검표).xlsx,.xls,건너뜀,,이미 변환됨
11:46:46,WA-852-1 QIF-05(전자인장관리대장).xlsx,.xls,건너뜀,,이미 변환됨
11:46:46,첨부#1 인장(하드,전자) 형태 및 용도.xlsx,.xls,건너뜀,,이미 변환됨
11:46:46,WA-853 QIF-01(고객지급품관리대장).xls,.xls,성공,28.8,
11:46:46,WA-853 QIF-02(고객자산반출LIST).xls,.xls,성공,12.9,
11:46:46,WA-854-2 QI-1 (현장 3정5행체크리스트).xls,.xls,성공,14.2,
11:46:46,WA-854-1 QIF-01(FOD Area Risk 분석 점검표).xlsx,.xls,건너뜀,,이미 변환됨
11:46:46,WA-854-1 QIF-02(FOD Assessment Check Sheet).xlsx,.xls,건너뜀,,이미 변환됨
11:46:46,WA-854-1 QIF-03(FOD 예방점검표).xlsx,.xls,건너뜀,,이미 변환됨
11:46:46,WA-854-1 QIF-05(FO 발생 인지, 발견보고서).xlsx,.xls,건너뜀,,이미 변환됨
11:46:46,WA-854-1 QIF-06(FOD 사고조사보고서).xlsx,.xls,건너뜀,,이미 변환됨
11:46:46,첨부#7  현장게시용 챠트, 관리방법.xlsx,.xls,건너뜀,,이미 변환됨
11:46:46,WA-854-e QIF-1 (시효성자재 관리대장_REV_0).xls,.xls,성공,13.9,
11:46:46,WA-854-e QIF-2 (시효성자재 일일점검표_REV_0).xls,.xls,성공,23.8,
11:46:46,WA-854-e QIF-3 (온습도 관리 기록서_REV_0).xlsx,.xls,건너뜀,,이미 변환됨
11:46:46,WA-856 QIF-01 변경점 관리대장.xls,.xls,성공,18.9,
11:46:46,WA-856 QIF-02 (변경점 신고서).xlsx,.xls,건너뜀,,이미 변환됨
11:46:46,WA-860 QIF-01(치수검사기록서).xls,.xls,성공,18.3,
11:46:47,WA-860 QIF-03(치수검사기록서).xls,.xls,성공,18.3,
11:46:47,WA-860 QIF-03(합격라벨).xls,.xls,성공,35.4,
11:46:47,WA-860 QIF-04(합격라벨).xls,.xls,성공,35.4,
11:46:47,WA-860 QIF-01(수령검사 의뢰 및 검사).xlsx,.xls,건너뜀,,이미 변환됨
11:46:47,WA-860 QIF-08(STORAGE CONTROL LABEL).xlsx,.xls,건너뜀,,이미 변환됨
11:46:47,WA-860 QIF-06(수령검사 의뢰 및 검사).xlsx,.xls,건너뜀,,이미 변환됨
11:46:47,WA-870 QPF-01 부적합품관리대장(REV_0)_MASTER.xls,.xls,성공,23.6,
11:46:47,WA-870 QPF-01(부적합보고서).xls,.xls,성공,16.9,
11:46:47,WA-870 QPF-02(MRB BOORH 관리대장).xls,.xls,성공,20.7,
11:46:47,WA-870 QPF-02(부적합보고서).xls,.xls,성공,16.9,
11:46:47,WA-870 QPF-03(간이 부적합보고서).xls,.xls,성공,16.9,
11:46:47,WA-870 QPF-03(부적합 표찰).xls,.xls,성공,19.2,
11:46:48,WA-870 QPF-04(부적합 표찰).xls,.xls,성공,19.2,
11:46:48,WA-870 QPF-04(적합 표찰).xls,.xls,성공,12.5,
11:46:48,WA-870 QPF-05 부적합품관리대장(REV_0)_MASTER.xls,.xls,성공,23.6,
11:46:48,WA-870 QPF-05(적합 표찰).xls,.xls,성공,12.5,
11:46:48,WA-870 QPF-06(MRB BOORH 관리대장).xls,.xls,성공,20.7,
11:46:48,WA-870-QPF-01---(부적합기록서).xls-전산.xlsm,.xls,성공,55.9,
11:46:49,WA-870-QPF-01---(부적합기록서).xls.xlsm,.xls,성공,55.9,
11:46:49,첨부#1 간이 부적합 표찰(Stock Purge).xls,.xls,성공,101.1,
11:46:49,첨부#1 스탁 퍼쥐 표찰(Stock Purge).xls,.xls,성공,101.1,
11:46:49,WA-912-QIF-01(고객만족도 조사 설문지).xlsx,.xls,건너뜀,,이미 변환됨
11:46:49,WA-620 QIF-01 대상별 분석평가 현황.xls,.xls,성공,16.7,
11:46:49,WA-913 QIF Appendix I.xlsx,.xls,건너뜀,,이미 변환됨
11:46:49,WA-913 QIF-01(경영분석 및 평가 관리표).xlsx,.xls,건너뜀,,이미 변환됨
11:46:49,WA-920 QPF-01(내부심사계획서).xls,.xls,성공,26.9,
11:46:50,WA-920 QPF-02(내부심사결과보고서).xls,.xls,성공,22,
11:46:50,WA-920 QPF-00(내부 심사 총괄).xlsx,.xls,건너뜀,,이미 변환됨
11:46:50,WA-920 QPF-03 내부심사점검표-영민수정.xlsx,.xls,건너뜀,,이미 변환됨
11:46:50,WA-920 QPF-07(년간 심사계획서).xlsx,.xls,건너뜀,,이미 변환됨
11:46:50,WA-930 QPF-02(경영검토 보고서).xls,.xls,성공,110.1,
11:46:50,WA-930 QPF-03(경영검토 체크리스트).xls,.xls,성공,18.4,
